Marca temporal;Sexo;Edad;¿En qué barrio vivís?;¿Con qué frecuencia visitás el restaurante?;¿Cuál es el motivo principal de tus visitas?;¿Qué aspectos te motivan a elegir el restaurante?;¿Cómo definirías al restaurante?;¿Cómo calificarías la calidad de nuestros platos?;¿Qué opinás sobre nuestro servicio al cliente?;¿Qué opinás sobre la atmósfera y el diseño interior del lugar?;¿Qué aspectos de la ambientación sugerís mejorar?;De lo que hayas probado, ¿cuáles son tus preferidos del menú?;¿Hay algún plato o bebida que te gustaría que agreguemos al menú?;¿Experimentaste algún problema o inconveniente durante tus visitas al restaurante? Especificar si corresponde;¿Estarías interesado en eventos especiales organizados por nosotros? Ejemplo: cenas temáticas, catas de vino, noche de música en vivo, etc.;¿Tenés alguna recomendación o sugerencia para mejorar el restaurante?;;Puntuación
8/11/2023 19:53:08;Mujer;26 a 35 años;Punta gorda;Ocasionalmente;Comidas familiares;El ambiente y su calidez;Familiar;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Olores;Pizza;No;No;Si, me gustan este tipo de eventos;No;;0
8/11/2023 20:54:49;Hombre;46 a 55 años;Carrasco;Semanalmente;Comidas familiares;Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente;Bar de siempre, Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;No me importa mucho, lo importante es la comida;Ruido ambiente, Música;Pizza y parrilla;;No;Si, me gustan este tipo de eventos;;;0
8/11/2023 21:25:07;Mujer;18 a 25 años;Punta Gorda;Semanalmente;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente;Familiar;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Iluminación;Milanesa, arroz con pollo;No;No;Si, me gustan este tipo de eventos;No;;0
8/11/2023 21:27:24;Mujer;46 a 55 años;Punta Gorda;Semanalmente;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ventilación, Comodidad del mobiliario;Matambre a las brasas;Aperol;No;Si, me gustan este tipo de eventos;No. Todo 10 ptos. 👍🏻;;0
8/11/2023 21:28:27;Hombre;56 a 65 años;Punta Gorda;Semanalmente;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Música, Baños;Suprema a la plancha con salsa de champiñones ;Lasaña sin queso;No;Si, me gustan este tipo de eventos;Variedad de tragos;;0
8/11/2023 21:53:25;Hombre;46 a 55 años;Curva de maroñas ;Varias veces al año;Comidas familiares;El ambiente y su calidez;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Baños;Chibitos canadiense ;Nop;Ningun problema ;Si, me gustan este tipo de eventos;No por q es perfecto tan y como es;;0
8/11/2023 23:16:58;Hombre;26 a 35 años;El Pinar, Costa de Oro.;Semanalmente;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;Las pastas y los chivitos.;Canelones de carne;No;Si, me gustan este tipo de eventos;Continúen así…;;0
8/12/2023 13:48:13;Mujer;46 a 55 años;Lomas de Solymar ;Ocasionalmente;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente;Familiar, Bar que te atienden como restaurante, Parrillada;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Todos los de partilla;;;Si, me gustan este tipo de eventos;;;0
8/12/2023 14:16:12;Mujer;18 a 25 años;Pocitos ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez;Familiar, Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Todo es muy bueno;;No;Si, me gustan este tipo de eventos;Menos decoración en los platos (lechugas etc innecesarias);;0
8/12/2023 14:18:27;Mujer;18 a 25 años;Pocitos;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez;Familiar, Bar de siempre, Restaurante, Bar, Parrillada;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente;Pasta en gral (traigan devuelta los ñoquis);Más platos vegetarianos;No;Si, me gustan este tipo de eventos;Más platos vegetarianos;;0
8/12/2023 14:44:10;Mujer;Menor de 18 años;El Pinar ;Ocasionalmente;Comidas familiares;Tradición e historia del lugar;Bar de siempre;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Pastas y Parrilla ;;No ;No, no estoy interesado en este tipo de actividades;;;0
8/12/2023 14:54:44;Hombre;36 a 45 años;Union;Varias veces al año;Comidas familiares;El ambiente y su calidez, Ubicación conveniente;Familiar, Restaurante;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente;;Milanesas;Nunca siempre todo muy bien. ;Si, me gustan este tipo de eventos;Preferiría que el precio de los cubiertos y panera estuvieran incorporados al precio de los platos. Faltaría una buena opción de Té para 2 personas.;;0
8/12/2023 14:58:48;Mujer;36 a 45 años;Unión ;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Familiar;Bueno;Excepcional: el personal es amable, atento y servicial;No me importa mucho, lo importante es la comida;;Pasta;No;No;No, no estoy interesado en este tipo de actividades;No;;0
8/12/2023 14:58:54;Mujer;46 a 55 años;Jacinto Vera;Ocasionalmente;Cenas románticas o especiales en pareja;El ambiente y su calidez;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Carnes varias;No;;Si, me gustan este tipo de eventos;;;0
8/12/2023 14:59:26;Mujer;26 a 35 años;Pocitos Nuevo;Es mi primera visita;Comidas familiares;Ubicación conveniente;Parrillada;Bueno;Aceptable: podría mejorar en algunos aspectos;Es agradable pero podría mejorarse en ciertos aspectos;Iluminación, Ruido ambiente;Parrilla ;;;No, no estoy interesado en este tipo de actividades;Servir la bebida junto con la panera ;;0
8/12/2023 15:12:16;Hombre;36 a 45 años;Paso carrasco ;Varias veces al año;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Parrilla y milanesas;No;No;Si, me gustan este tipo de eventos;;;0
8/12/2023 17:09:02;Mujer;26 a 35 años;Colón ;Es mi primera visita;Reuniones con amigos;Variedad y calidad del menú;Bar que te atienden como restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Comodidad del mobiliario;Chivito ;Daikiri ;No ;Si, me gustan este tipo de eventos;No ;;0
8/12/2023 17:15:35;Hombre;56 a 65 años;Prado;Varias veces al año;Cenas románticas o especiales en pareja;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez;Bar que te atienden como restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Comodidad del mobiliario; Chivito de la casa;;;Si, me gustan este tipo de eventos;;;0
8/12/2023 18:28:29;Hombre;36 a 45 años;Cordon ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar;Familiar, Bar que te atienden como restaurante, Parrillada;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente;Parrilla ;;No ;Si, me gustan este tipo de eventos;;;0
8/12/2023 19:07:17;Mujer;36 a 45 años;Centro ;Varias veces al año;Comidas familiares;Tradición e historia del lugar, El ambiente y su calidez;Familiar, Bar de siempre, Bar que te atienden como restaurante, Recuerdos y tradición familiar ;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Todo bien ;Parrilla, pizza, pasta;Si, quizás opciones sin TACC para poder venir todos;Todo bien ;Si, me gustan este tipo de eventos;;;0
8/12/2023 19:28:44;Hombre;36 a 45 años;La Figurita;Es mi primera visita;Cenas románticas o especiales en pareja;Recomendación de conocidos o reseñas positivas;Familiar;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Nada para sugerir;Solo probé la pizza y estuvo muy buena. ;No;Ningún problema.;No, no estoy interesado en este tipo de actividades;;;0
8/12/2023 20:14:18;Hombre;36 a 45 años;Malvín;Varias veces al año;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Baños;Milanesa napolitana;Más opciones de refrescos tamaño familiar;La higiene de los baños es muy mejorable. Me ha pasado en distintos horarios. No es solo por mucho uso.;No, no estoy interesado en este tipo de actividades;Mismo que antes. Mejorar la higiene de los baños;;0
8/12/2023 20:44:32;Mujer;26 a 35 años;Aeropuerto ;Varias veces al año;Comidas familiares;Tradición e historia del lugar;Restaurante;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Comodidad del mobiliario;Asado y sorrentinos ;;;Si, me gustan este tipo de eventos;;;0
8/12/2023 21:04:15;Mujer;26 a 35 años;Solymar;Es mi primera visita;Comidas familiares;Ubicación conveniente;Familiar;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ninguno;Pizzeta;Vegetarianos;;No, no estoy interesado en este tipo de actividades;Agregar menú vegetariano;;0
8/12/2023 21:06:51;Mujer;56 a 65 años;Malvin ;Varias veces al año;Reuniones con amigos;Variedad y calidad del menú;Bar que te atienden como restaurante;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Iluminación;En general todos lo que he probado me han gustado ;Limonadas;Ninguno ;No, no estoy interesado en este tipo de actividades;;;0
8/12/2023 21:11:21;Mujer;65 a 75 años;Ciudad de Rivera;Varias veces al año;Reuniones con amigos;Tradición e historia del lugar;Familiar, Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Nada;Suprema Maryland y copa del restaurante;Limonada con gustos;;Si, me gustan este tipo de eventos;;;0
8/12/2023 21:14:43;Mujer;46 a 55 años;Solymar;Es mi primera visita;Comidas familiares;Recomendación de conocidos o reseñas positivas;Familiar;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;;La pizzería ;Menú vegetariano;;Si, me gustan este tipo de eventos;;;0
8/12/2023 22:37:09;Hombre;46 a 55 años;Rocha;Ocasionalmente;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente;Familiar, Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Chivito  para 2;;Ninguno;No, no estoy interesado en este tipo de actividades;;;0
8/12/2023 23:55:00;Mujer;18 a 25 años;Pocitos ;Una vez al mes o más;Reuniones con amigos;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ventilación;Chivito ;;No;No, no estoy interesado en este tipo de actividades;;;0
8/13/2023 0:06:23;Mujer;26 a 35 años;Prado;Semanalmente;Comidas familiares;Variedad y calidad del menú;Familiar;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;;Tortilla de papa, chivito;;Ninguno ;Si, me gustan este tipo de eventos;;;0
8/13/2023 0:40:04;Mujer;46 a 55 años;Pocitos ;Semanalmente;Comidas familiares;Variedad y calidad del menú;Familiar;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Comodidad del mobiliario;Chivitos;Limonada;No;Si, me gustan este tipo de eventos;;;0
8/13/2023 1:41:49;Mujer;56 a 65 años;Malvin;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez;Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;Muzarela y  faina ;Tacos y bastones de muzarela  ;No;Si, me gustan este tipo de eventos;No;;0
8/13/2023 12:10:25;Mujer;46 a 55 años;Carrasco norte;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Pollo en salsa de anana;;;Si, me gustan este tipo de eventos;;;0
8/13/2023 12:11:07;Hombre;Menor de 18 años;Carrasco norte ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente;Familiar, Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Ventilación, Olores;Milanesa en dos panes ;.;No ;No, no estoy interesado en este tipo de actividades;.;;0
8/13/2023 12:50:47;Mujer;26 a 35 años;Buceo ;Es mi primera visita;Tiempo a solas conmigo mismo;Tradición e historia del lugar;Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ninguno;Asado ;;;Si, me gustan este tipo de eventos;;;0
8/13/2023 12:55:36;Mujer;65 a 75 años;Cordón ;Ocasionalmente;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;;;;Si, me gustan este tipo de eventos;;;0
8/13/2023 13:21:08;Hombre;36 a 45 años;Buceo;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, Ubicación conveniente;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;No me importa mucho, lo importante es la comida;Comodidad del mobiliario;Suprema rellena;No;No;No, no estoy interesado en este tipo de actividades;No. Al momento;;0
8/13/2023 13:59:05;Hombre;46 a 55 años;Malvin;Varias veces al año;Comidas familiares;Tradición e historia del lugar;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Baños;Pastas;No;No;No, no estoy interesado en este tipo de actividades;No;;0
8/13/2023 14:00:42;Mujer;46 a 55 años;Malvin ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Baños;Pastas;No;No;No, no estoy interesado en este tipo de actividades;No;;0
8/13/2023 14:03:14;Mujer;56 a 65 años;Carrasco ;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Familiar, Parrillada;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Comodidad del mobiliario;Parrilla;;Domingo , tuve que esperar más de 1 hora ;No, no estoy interesado en este tipo de actividades;;;0
8/13/2023 14:03:28;Mujer;36 a 45 años;Pocitos Nuevo;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente, Descuento Santander Select;Familiar, Bar de siempre, Bar que te atienden como restaurante;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Pollo con salsa de puerro y zanahorias baby;;;No, no estoy interesado en este tipo de actividades;Estaría bueno incorporar cervezas sin alcohol, que es un mercado que viene creciendo, ya sea para acomodar los gustos de personas con problemas de salud que no pueden beber alcohol, o conductores. Hay una muy buena que creo se llama Undergarde ;;0
8/13/2023 14:07:59;Mujer;18 a 25 años;Carrasco;Una vez al mes o más;Comidas familiares;Recomendación de conocidos o reseñas positivas;Bar de siempre;Aceptable;Aceptable: podría mejorar en algunos aspectos;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente, Olores;omelette, fritas;no;Tardan mucho en entregar la comida;Si, me gustan este tipo de eventos;tardar menos en la comida;;0
8/13/2023 14:57:17;Mujer;18 a 25 años;Malvin norte ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;;Chivito canadiense ;Tortugon ;No;Si, me gustan este tipo de eventos;No;;0
8/13/2023 15:06:44;Hombre;65 a 75 años;Punta Gorda;Varias veces al año;Comidas familiares;Tradición e historia del lugar;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;Pastas y carnes;Todo bien;Jamas;Si, me gustan este tipo de eventos;No, todo bien desde los años 70 que vengo;;0
8/13/2023 15:35:00;Hombre;Menor de 18 años;Malvin;Ocasionalmente;Comidas familiares;Le gusta a mis abuelos;Familiar, Bar de siempre;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Música, Comodidad del mobiliario;Milanesa con papas fritas;No;Nunca;No, no estoy interesado en este tipo de actividades;Ninguna;;0
8/13/2023 16:13:32;Hombre;56 a 65 años;Malvín;Varias veces al año;Comidas familiares;Variedad y calidad del menú, Ubicación conveniente;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente;Ravioles a la Parisienne o príncipe de napoles;Algún plato no tradicional;No;No, no estoy interesado en este tipo de actividades;Bajar el nivel de ruido. Pero entiendo es difícil ;;0
8/13/2023 16:15:49;Hombre;36 a 45 años;Cordon;Semanalmente;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente;Familiar, Bar de siempre, Restaurante, Bar que te atienden como restaurante, Parrillada;;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ventilación, Calefacción;Asado;;;Si, me gustan este tipo de eventos;;;0
8/13/2023 16:20:17;Mujer;46 a 55 años;Malvin;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, Se puede almorzar a cualquier hora;Familiar;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente;Pollo a las brasas;;A veces demora la comida ;No, no estoy interesado en este tipo de actividades;Si. No hay relación precio calidad;;0
8/13/2023 19:43:11;Hombre;56 a 65 años;San Francisco departamento de Maldonado ;Ocasionalmente;Comidas familiares;Variedad y calidad del menú, Tradición e historia del lugar, El ambiente y su calidez, La decoración del lugar;Familiar;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Ninguno nos gusta tal cual es mi primera visita fue a mis 7 años y lo reencuentro con 57 y me sigue gustando arriba por muchos años más;La parrillada;;;No, no estoy interesado en este tipo de actividades;;;0
8/13/2023 19:49:55;Mujer;36 a 45 años;Buceo;Es mi primera visita;Celebraciones;El ambiente y su calidez;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Nada me pareció bien todo;El caliente ;No;No;No, no estoy interesado en este tipo de actividades;No;;0
8/13/2023 20:33:38;Hombre;46 a 55 años;Flor de Maroñas ;Ocasionalmente;Comidas familiares;El ambiente y su calidez;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;;;;;No, no estoy interesado en este tipo de actividades;;;0
8/13/2023 20:50:20;Mujer;46 a 55 años;Flor de Maroñas;Ocasionalmente;Celebraciones;El ambiente y su calidez;Familiar;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;;No;No;Si, me gustan este tipo de eventos;No;;0
8/13/2023 21:38:56;Hombre;18 a 25 años;Prado;Varias veces al año;Comidas familiares;Variedad y calidad del menú, La decoración del lugar;Restaurante;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ventilación;Milanesa americana ;Strogonoff de pollo;;Si, me gustan este tipo de eventos;;;0
8/13/2023 21:41:36;Mujer;18 a 25 años;Sayago;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Iluminación;;;;Si, me gustan este tipo de eventos;;;0
8/13/2023 21:59:53;Hombre;26 a 35 años;Carrasco Norte;Ocasionalmente;Cenas románticas o especiales en pareja;Variedad y calidad del menú;Bar que te atienden como restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Música;Parrilla ;;No.;Si, me gustan este tipo de eventos;;;0
8/14/2023 0:04:47;Hombre;46 a 55 años;Solymar;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Familiar;Bueno;Aceptable: podría mejorar en algunos aspectos;Es agradable pero podría mejorarse en ciertos aspectos;Iluminación, Ventilación;Milanesa ;Bebidas refrescos más grandes ;Nunca;No, no estoy interesado en este tipo de actividades;Pizza más caliente a la mesa ;;0
8/14/2023 12:07:52;Mujer;46 a 55 años;Atlántida ;Ocasionalmente;Comidas familiares;Tradición e historia del lugar;Familiar;Bueno;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Parrilla;;No;Si, me gustan este tipo de eventos;No;;0
8/14/2023 12:15:19;Mujer;Mayor de 76 años;Atlantida ;Ocasionalmente;Comidas familiares;Tradición e historia del lugar;Restaurante;Bueno;Aceptable: podría mejorar en algunos aspectos;Es agradable pero podría mejorarse en ciertos aspectos;Estacionamiento;Lasagna de verduraa;Bebida paso de los Toros ;El personal se encontraba almorzando y fui atendida a desgano;Si, me gustan este tipo de eventos;Noches de música popular;;0
8/14/2023 12:29:45;Hombre;26 a 35 años;Malvin ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;No me importa mucho, lo importante es la comida;;Asado;No ;No;Si, me gustan este tipo de eventos;No ;;0
8/14/2023 17:41:35;Hombre;56 a 65 años;Punta del Este ;Una vez al mes o más;Comidas de negocios;Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente, La decoración del lugar;Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Pizza con muzarela una tradición de 30 años ;Sushi;Nunca;Si, me gustan este tipo de eventos;Servicio de excelencia ;;0
8/14/2023 20:06:48;Mujer;46 a 55 años;Barra de Carrasco;Semanalmente;Tiempo a solas conmigo mismo;Variedad y calidad del menú, El ambiente y su calidez, Ubicación conveniente, La decoración del lugar, Recomendación de conocidos o reseñas positivas;Restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Las plantas con pinchos no son muy calidas ;Los pescados;Lasagna de cordero;;;Flores plasticas en los floreros no pondria. ;;0
8/14/2023 21:29:09;Hombre;26 a 35 años;Malvín sur ;Una vez al mes o más;Cenas románticas o especiales en pareja;Variedad y calidad del menú;Bar que te atienden como restaurante, La vieja confiable ;Bueno;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Música, Olores;Chivitos, Figazza con muzza y fainá ;;;No, no estoy interesado en este tipo de actividades;Sigan la calidad del producto;;0
8/15/2023 0:45:15;Mujer;18 a 25 años;Portones;Ocasionalmente;Tiempo a solas conmigo mismo;Ubicación conveniente;Restaurante;Bueno;Bueno: en general estoy satisfecho con el servicio;Me encanta, es un ambiente acogedor y agradable;Comodidad del mobiliario;Los platos de pasta como los canelones de verdura, igual los condimentaría mas, las salsas son súper ricas ;Más opciones de pasta vegetariana y cocteles;;No, no estoy interesado en este tipo de actividades;;;0
8/15/2023 11:21:03;Hombre;46 a 55 años;Maldonado ;Semanalmente;Tiempo a solas conmigo mismo;El servicio y la calides humana;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Todo excelente ;;No;Ninguna;Si, me gustan este tipo de eventos;Sigan asi;;0
8/15/2023 12:04:06;Hombre;26 a 35 años;Carrasco;Una vez al mes o más;Comidas de negocios;Tradición e historia del lugar, El ambiente y su calidez, Ubicación conveniente;Familiar, Bar de siempre, Parrillada;Bueno;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Comodidad del mobiliario, Las plantas plasticas que estan en el medio de las mesas son incomoda cuando son 4 personas;Capeletis, pollo, asado, milanesa ;;;Si, me gustan este tipo de eventos;;;0
8/15/2023 19:51:24;Mujer;26 a 35 años;Paso Carrasco ;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Familiar;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ruido ambiente, Música;Picaña;No, pero estaría bueno agregar salsas a la hora de servir la panera, ya que no todos comemos manteca;;Si, me gustan este tipo de eventos;;;0
8/15/2023 20:05:04;Mujer;26 a 35 años;Malvin Norte ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez, La decoración del lugar, El personal es muy cálido ;Bar que te atienden como restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;;Pizzas, parrilla, canelones y variedad en la carta de postres ;;;Si, me gustan este tipo de eventos;;;0
8/15/2023 23:03:48;Hombre;36 a 45 años;Malvin ;Una vez al mes o más;Comidas familiares;Variedad y calidad del menú, El ambiente y su calidez;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Iluminación, Ruido ambiente, Comodidad del mobiliario;Costilla de cerdo a la Riojana ;Limonada ;;No, no estoy interesado en este tipo de actividades;;;0
8/16/2023 19:42:45;Mujer;18 a 25 años;Pinar ;Semanalmente;Cenas románticas o especiales en pareja;Variedad y calidad del menú, El ambiente y su calidez;Restaurante, Parrillada;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Baños;Spagetis con 4 quesos;;No;Si, me gustan este tipo de eventos;;;0
8/16/2023 21:23:43;Mujer;26 a 35 años;Carrasco norte ;Varias veces al año;Comidas familiares;Variedad y calidad del menú;Restaurante;Excelente;Bueno: en general estoy satisfecho con el servicio;Es agradable pero podría mejorarse en ciertos aspectos;Ventilación;La milanesa de la casa;Lehmenyun;No;Si, me gustan este tipo de eventos;;;0
8/16/2023 21:23:55;Mujer;26 a 35 años;Portones ;Ocasionalmente;Comidas familiares;Ubicación conveniente;Familiar;Bueno;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Modernizar ;Milanesa napolitana ;Ensaladas variadas, daikiri, hamburguesas vegetarianas ;No;Si, me gustan este tipo de eventos;;;0
8/16/2023 21:37:18;Mujer;36 a 45 años;Carrasco ;Una vez al mes o más;Cenas románticas o especiales en pareja;Variedad y calidad del menú;Restaurante;Excelente;Excepcional: el personal es amable, atento y servicial;Es agradable pero podría mejorarse en ciertos aspectos;Comodidad del mobiliario, Los sillones de afuera son demasiado bajos e incómodos ;Napolitana, asado, pizza;Shawarma;;Si, me gustan este tipo de eventos;;;0
8/16/2023 21:52:31;Hombre;65 a 75 años;Ciudad de la Costa ;Ocasionalmente;Comidas familiares;Ubicación conveniente;Familiar;Excelente;Excepcional: el personal es amable, atento y servicial;Me encanta, es un ambiente acogedor y agradable;Ruido ambiente;Pizza;No está correcto;No;No, no estoy interesado en este tipo de actividades;No;;0
